Institute,Academic Program Name,quota,seat type,Gender,opening rank,closing rank
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,OPEN ,Female-only (including Supernumerary) ,47572,56302
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,OPEN (PwD) ,Gender-Neutral ,3229,3229
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,EWS ,Gender-Neutral ,7644,8875
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,SC ,Gender-Neutral ,10232,13787
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,ST ,Gender-Neutral ,5264,9226
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",AI ,OPEN ,Gender-Neutral ,48541,51559
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",AI ,OPEN ,Female-only (including Supernumerary) ,53286,53286
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",AI ,OPEN (PwD) ,Gender-Neutral ,2920,2920
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",AI ,EWS ,Gender-Neutral ,8731,8893
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",AI ,OBC-NCL ,Gender-Neutral ,15473,18320
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",AI ,SC ,Gender-Neutral ,8874,9787
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",AI ,ST ,Gender-Neutral ,4694,4694
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology) ",HS ,OPEN ,Gender-Neutral ,65626,81434
